series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,repair center,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K,next_failure_time,next_failure_time_censored
sn_000411,product B,V1E1,po_001201,po_001200,392,0,1389,center_2,0,0,0,0,0,1,0,0,0,0,1253,0
sn_000411,product B,V1E1,po_001202,po_001201,1253,0,2642,center_2,0,0,0,0,1,0,0,0,0,0,596,1
sn_000411,product B,V1E3,po_001203,po_001202,596,1,3238,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000412,product B,V1E1,po_001204,MFG,560,0,560,center_0,0,0,0,0,0,1,0,0,0,0,1322,0
sn_000412,product B,V1E1,po_001205,po_001204,1322,0,1882,center_2,0,0,0,0,1,1,0,0,0,0,2314,1
sn_000412,product B,V1E2,po_001207,po_001205,2314,1,4196,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000413,product B,V1E1,po_001208,MFG,714,0,714,center_0,0,0,0,0,1,0,0,0,0,0,609,0
sn_000413,product B,V1E2,po_001209,po_001208,609,0,1323,center_2,0,0,0,0,0,1,0,0,0,0,1942,1
sn_000413,product B,V1E2,po_001210,po_001209,1942,1,3265,center_2,0,0,0,0,0,0,0,0,0,0,,
sn_000414,product B,V1E1,po_001211,MFG,1540,0,1540,center_0,0,0,0,0,1,0,0,0,0,0,1155,0
sn_000414,product B,V1E2,po_001212,po_001211,1155,0,2695,center_2,0,0,0,0,1,0,0,0,0,0,554,1
sn_000414,product B,V1E3,po_001213,po_001212,554,1,3249,center_2,0,0,0,0,0,0,0,0,0,0,,
